Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement,q_conv,q_papago,q_ko,group_nums_ko
"Uncle Dave bought number0 ice cream sandwiches . If he wants to give them to his number1 hungry nieces , how many can each niece get ?",143.0 11.0,/ number0 number1,13.0,"[2, 3, 4, 15, 16, 17, 23, 24, 25]","Uncle Dave bought number0 ice cream sandwiches . If he wants to give them to his number1 hungry nieces ,",how many can each niece get ?,"Uncle Anderson bought 3730 ice cream sandwiches . If he wants to give them to his 3731 hungry nieces , how many can each niece get ?","앤더슨 삼촌은 3730개의 아이스크림 샌드위치를 샀다. 만약 그가 그의 3731개의 배고픈 조카들에게 그것들을 주고 싶다면, 각각의 조카들은 몇 개를 얻을 수 있는가?","정현 삼촌은 number0개의 아이스크림 샌드위치를 샀다 . 만약 그가 그의 number1개의 배고픈 조카들에게 그것들을 주고 싶다면 , 각각의 조카들은 몇 개를 얻을 수 있는가 ?","[1, 2, 3, 9, 10, 11, 21, 22, 23]"
Connie had some marbles . She gave number0 to Juan . Now she has number1 marbles left . How many did she have to start with ?,73.0 70.0,+ number0 number1,143.0,"[6, 7, 8, 13, 14, 15, 23, 24, 25]",Connie had some marbles . She gave number0 to Juan . Now she has number1 marbles left .,How many did she have to start with ?,Connie had some marbles . She gave 3730 to Anderson . Now she has 3731 marbles left . How many did she have to start with ?,코니는 구슬이 좀 있었다. 그녀는 앤더슨에게 3730을 주었다. 이제 그녀는 3731개의 구슬을 가지고 있다. 그녀는 몇 개부터 시작해야 했습니까?,코니는 구슬이 좀 있었다 . 그녀는 유나에게 number0을 주었다 . 이제 그녀는 number1개의 구슬을 가지고 있다 . 그녀는 몇 개부터 시작해야 했습니까 ?,"[6, 7, 8, 11, 12, 13, 19, 20, 21]"
"Joe had number0 toy cars . If he gets number1 more cars , how many cars will he have then ?",50.0 12.0,+ number0 number1,62.0,"[1, 2, 3, 8, 9, 10, 17, 18, 19]","Joe had number0 toy cars . If he gets number1 more cars ,",how many cars will he have then ?,"Anderson had 3730 toy cars . If he gets 3731 more cars , how many cars will he have then ?","앤더슨은 3730대의 장난감 자동차를 가지고 있었다. 만약 그가 3731대의 자동차를 더 얻는다면, 그는 그때 얼마나 많은 자동차를 가질 것인가?","서희는 number0대의 장난감 자동차를 가지고 있었다 . 만약 그가 number1대의 자동차를 더 얻는다면 , 그는 그때 얼마나 많은 자동차를 가질 것인가 ?","[0, 1, 2, 8, 9, 10, 18, 19, 20]"
Sally picked number0 lemons and Mary picked number1 lemons from the lemon tree . How many lemons were picked in total ?,7.0 9.0,+ number0 number1,16.0,"[1, 2, 3, 6, 7, 8, 18, 19, 20]",Sally picked number0 lemons and Mary picked number1 lemons from the lemon tree .,How many lemons were picked in total ?,Anderson picked 3730 lemons and Cyndia picked 3731 lemons from the lemon tree . How many lemons were picked in total ?,"앤더슨은 3730개의 레몬을, 신디아는 3731개의 레몬을 레몬나무에서 땄다. 레몬은 총 몇 개 선택되었나요?","서희는 number0개의 레몬을 , 정현은 number1개의 레몬을 레몬나무에서 땄다 . 레몬은 총 몇 개 선택되었나요 ?","[0, 1, 2, 4, 5, 6, 12, 13, 14]"
"On a recent trip to CA , we averaged number0 miles per hour . On the return trip we averaged number1 miles per hour . Determine the average speed of the trip to CA and back .",50.0 60.0,/ + number0 number1 2.0,54.545,"[8, 9, 10, 19, 20, 21, 33, 34, 35]","On a recent trip to CA , we averaged number0 miles per hour . On the return trip we averaged number1 miles per hour .",Determine the average speed of the trip to CA and back .,"On a recent trip to CA , we averaged 3730 miles per hour . On the return trip we averaged 3731 miles per hour . Determine the average speed of the trip to CA and back .","최근 CA로의 여행에서, 우리는 시간당 평균 3730마일입니다. 돌아오는 여행에서 우리는 시간당 평균 3731마일입니다. CA 그리고 되돌아오는 여행의 평균 속도를 결정하세요.","최근 CA로의 여행에서 , 우리는 시간당 평균 number0마일입니다 . 돌아오는 여행에서 우리는 시간당 평균 number1마일입니다 . CA 그리고 되돌아오는 여행의 평균 속도를 결정하세요 .","[6, 7, 8, 13, 14, 15, 20, 21, 22]"
Tom found number0 seashells on the beach . he gave Jessica number1 of the seashells . How many seashells does he now have ?,5.0 2.0,- number0 number1,3.0,"[1, 2, 3, 10, 11, 12, 20, 21, 22]",Tom found number0 seashells on the beach . he gave Jessica number1 of the seashells .,How many seashells does he now have ?,Anderson found 3730 seashells on the beach . he gave Cyndia 3731 of the seashells . How many seashells does he now have ?,앤더슨은 해변에서 3730개의 조개껍질을 발견했다. 그는 신디아에게 3731개의 조개껍질을 주었다. 그는 지금 얼마나 많은 조개껍질을 가지고 있나요?,서희는 해변에서 number0개의 조개껍질을 발견했다 . 그는 지훈에게 number1개의 조개껍질을 주었다 . 그는 지금 얼마나 많은 조개껍질을 가지고 있나요 ?,"[1, 2, 3, 7, 8, 9, 16, 17, 18]"
Edward was working as a sacker at a grocery store where he made number0 dollars an hour . On Monday he worked number1 hours and on Tuesday he worked number2 hours . How much money did Edward make in those two days ?,6.0 3.0 5.0,* number0 + number1 number2,48.0,"[12, 13, 14, 21, 22, 23, 28, 29, 30, 39, 40, 41]",Edward was working as a sacker at a grocery store where he made number0 dollars an hour . On Monday he worked number1 hours and on Tuesday he worked number2 hours .,How much money did Edward make in those two days ?,Anderson was working as a sacker at a grocery store where he made 3730 dollars an hour . On Monday he worked 3731 hours and on Tuesday he worked 3732 hours . How much money did Anderson make in those two days ?,"앤더슨은 식료품점에서 시간당 3730달러를 벌고 있었다. 월요일에는 3731시간, 화요일에는 3732시간을 일했다. 앤더슨은 그 이틀 동안 얼마나 많은 돈을 벌었습니까?","지현은 식료품점에서 시간당 number0달러를 벌고 있었다 . 월요일에는 number1시간 , 화요일에는 number2시간을 일했다 . 지현은 그 이틀 동안 얼마나 많은 돈을 벌었습니까 ?","[2, 3, 4, 7, 8, 9, 10, 11, 12, 19, 20, 21]"
"A waiter had number0 customers in his section . If number1 of them left and the rest of his tables had number2 people at each table , how many tables did he have ?",44.0 12.0 8.0,/ - number0 number1 number2,4.0,"[2, 3, 4, 9, 10, 11, 20, 21, 22, 30, 31, 32]","A waiter had number0 customers in his section . If number1 of them left and the rest of his tables had number2 people at each table ,",how many tables did he have ?,"A waiter had 3730 customers in his section . If 3731 of them left and the rest of his tables had 3732 people at each table , how many tables did he have ?","웨이터는 그의 섹션에 3730명의 손님이 있었다. 만약 그들중 3731명이 떠나고 그의 테이블의 나머지가 각 테이블에 3732명의 사람들을 가지고 있다면, 그는 얼마나 많은 테이블을 가지고 있었는가?","웨이터는 그의 섹션에 number0명의 손님이 있었다 . 만약 그들중 number1명이 떠나고 그의 테이블의 나머지가 각 테이블에 number2명의 사람들을 가지고 있다면 , 그는 얼마나 많은 테이블을 가지고 있었는가 ?","[2, 3, 4, 8, 9, 10, 15, 16, 17, 24, 25, 26]"
"Louise has number0 oranges stored in boxes . If there are number1 boxes , how many oranges must go in each box ?",42.0 7.0,/ number0 number1,6.0,"[1, 2, 3, 10, 11, 12, 19, 20, 21]","Louise has number0 oranges stored in boxes . If there are number1 boxes ,",how many oranges must go in each box ?,"Anderson has 3730 oranges stored in boxes . If there are 3731 boxes , how many oranges must go in each box ?","Anderson은 3730개의 오렌지를 박스에 보관합니다. 3731개의 박스가 있다면, 얼마나 많은 오렌지가 각 박스에 들어가야만 합니까?","지훈은 number0개의 오렌지를 박스에 보관합니다 . number1개의 박스가 있다면 , 얼마나 많은 오렌지가 각 박스에 들어가야만 합니까 ?","[0, 1, 2, 5, 6, 7, 14, 15, 16]"
"Isabel baked number0 cupcakes for her school 's bake sale . If her brother , Todd , ate number1 of them how many packages could she make if she put number2 cupcake in each package ?",39.0 21.0 3.0,/ - number0 number1 number2,6.0,"[1, 2, 3, 17, 18, 19, 29, 30, 31, 32, 33, 34]","Isabel baked number0 cupcakes for her school 's bake sale . If her brother , Todd , ate number1 of them",how many packages could she make if she put number2 cupcake in each package ?,"Isabel baked 3730 cupcakes for her school 's bake sale . If her brother , Anderson , ate 3731 of them how many packages could she make if she put 3732 cupcake in each package ?",이자벨은 그녀의 학교의 베이크 세일을 위해 3730개의 컵케이크를 구웠다. 만약 그녀의 남동생 앤더슨이 3731개를 먹었다면 그녀가 3732개의 컵케이크를 각각의 포장지에 넣으면 그녀는 얼마나 많은 꾸러미를 만들 수 있었을까?,이자벨은 그녀의 학교의 베이크 세일을 위해 number0개의 컵케이크를 구웠다 . 만약 그녀의 남동생 서희가 number1개를 먹었다면 그녀가 number2개의 컵케이크를 각각의 포장지에 넣으면 그녀는 얼마나 많은 꾸러미를 만들 수 있었을까 ?,"[5, 6, 7, 13, 14, 15, 16, 17, 18, 26, 27, 28]"
"Uncle Dave bought number0 ice cream sandwiches . If he wants to give them to his number1 hungry nieces , how many can each niece get ?",143.0 11.0,/ number0 number1,13.0,"[2, 3, 4, 15, 16, 17, 23, 24, 25]","Uncle Dave bought number0 ice cream sandwiches . If he wants to give them to his number1 hungry nieces ,",how many can each niece get ?,"Uncle Anderson bought 3730 ice cream sandwiches . If he wants to give them to his 3731 hungry nieces , how many can each niece get ?","앤더슨 삼촌은 3730개의 아이스크림 샌드위치를 샀다. 만약 그가 그의 3731개의 배고픈 조카들에게 그것들을 주고 싶다면, 각각의 조카들은 몇 개를 얻을 수 있는가?","지현 삼촌은 number0개의 아이스크림 샌드위치를 샀다 . 만약 그가 그의 number1개의 배고픈 조카들에게 그것들을 주고 싶다면 , 각각의 조카들은 몇 개를 얻을 수 있는가 ?","[1, 2, 3, 9, 10, 11, 21, 22, 23]"
In fourth grade there were number0 students at the start of the year . During the year number1 students left and number2 new students came to school . How many students were in fourth grade at the end ?,11.0 6.0 42.0,- + number0 number2 number1,47.0,"[4, 5, 6, 16, 17, 18, 20, 21, 22, 35, 36, 37]",In fourth grade there were number0 students at the start of the year . During the year number1 students left and number2 new students came to school .,How many students were in fourth grade at the end ?,In fourth grade there were 3730 students at the start of the year . During the year 3731 students left and 3732 new students came to school . How many students were in fourth grade at the end ?,4학년때는 3730명의 학생들이 그 해의 시작에 있었다. 3731명의 학생들이 떠났고 3732명의 새로운 학생들이 학교에 왔다. 마지막에 4학년 학생들은 몇 명이었나요?,4학년때는 number0명의 학생들이 그 해의 시작에 있었다 . number1명의 학생들이 떠났고 number2명의 새로운 학생들이 학교에 왔다 . 마지막에 4학년 학생들은 몇 명이었나요 ?,"[0, 1, 2, 7, 8, 9, 10, 11, 12, 19, 20, 21]"
Tina has number0 bananas . She gets number1 more from Joyce . How many bananas does Tina have in all ?,82.0 3.0,+ number0 number1,85.0,"[1, 2, 3, 6, 7, 8, 17, 18, 19]",Tina has number0 bananas . She gets number1 more from Joyce .,How many bananas does Tina have in all ?,Anderson has 3730 bananas . She gets 3731 more from Cyndia . How many bananas does Anderson have in all ?,앤더슨은 3730개의 바나나를 가지고 있다. 그녀는 신디아로부터 3731점을 더 받는다. 앤더슨은 모두 몇 개의 바나나를 가지고 있습니까?,서희는 number0개의 바나나를 가지고 있다 . 그녀는 지훈로부터 number1점을 더 받는다 . 서희는 모두 몇 개의 바나나를 가지고 있습니까 ?,"[0, 1, 2, 7, 8, 9, 16, 17, 18]"
There were number0 boys and number1 girls on the playground at recess . How many children were on the playground at recess ?,27.0 35.0,+ number0 number1,62.0,"[1, 2, 3, 4, 5, 6, 19, 20, 21]",There were number0 boys and number1 girls on the playground at recess .,How many children were on the playground at recess ?,There were 3730 boys and 3731 girls on the playground at recess . How many children were on the playground at recess ?,쉬는 시간에 운동장에는 남자 3730명과 여자 3731명이 있었다. 쉬는 시간에 얼마나 많은 아이들이 운동장에 있었습니까?,쉬는 시간에 운동장에는 남자 number0명과 여자 number1명이 있었다 . 쉬는 시간에 얼마나 많은 아이들이 운동장에 있었습니까 ?,"[3, 4, 5, 6, 7, 13, 14, 15]"
